District_Name,Crop_Name,Irrigation_Method,Water_Consumption_L_ha,Water_Availability_L_ha
Sylhet,Garlic,Tube Well,11609.330885810616,11335.919980150127
Rajshahi,Gram,Drip Irrigation,12648.406038302792,12091.900253943171
Sylhet,Guava,Canal Irrigation,10063.162447916591,9810.943168837392
Jessore,Barley,Sprinkler Irrigation,10110.539993326256,10754.217313163708
Cumilla,Gram,Canal Irrigation,9320.45101775053,8695.537818813737
Cumilla,Bajra,Tube Well,13707.248507009224,13088.40603512336
Sylhet,Gram,Tube Well,6419.276991936418,6685.757927114612
Bogra,Gram,Tube Well,9289.883923057483,9468.516256279372
Mymensingh,Pulses,Tube Well,6437.159656087371,6909.587516713526
Mymensingh,Citrus,Tube Well,15661.876221224187,16224.039215387857
Chittagong,Opium,Sprinkler Irrigation,10553.033527645484,9809.797091748638
Cumilla,Fenugreek,Canal Irrigation,9733.308655797786,9502.633933285197
Bogra,Opium,Sprinkler Irrigation,7811.486749531211,8738.673824890717
Rangpur,Tomato,Sprinkler Irrigation,6562.789955907221,6767.8388552599845
Mymensingh,Sugarcane,Canal Irrigation,13435.987795036868,14307.01194996194
Barisal,Bajra,Sprinkler Irrigation,11392.330625198285,10973.489616156785
Sylhet,Fenugreek,Sprinkler Irrigation,14439.690538574308,14739.863314188262
Chittagong,Chilli,Canal Irrigation,9909.752939787137,10431.30298945327
Mymensingh,Onion,Tube Well,12835.02600869453,13622.75801145037
Mymensingh,Sugarcane,Tube Well,11629.659341985467,11675.119314403872
Dhaka,Pomegranate,Sprinkler Irrigation,6516.406866225762,5629.6164148168755
Rangpur,Oilseeds,Canal Irrigation,12487.54016587375,11780.396946155142
Dhaka,Opium,Canal Irrigation,8902.221311781012,8984.565486647485
Sylhet,Tomato,Drip Irrigation,10033.949035638458,10385.001062677577
Mymensingh,Maize,Tube Well,5680.971783779863,6249.5861295216355
Rangpur,Opium,Drip Irrigation,14601.97345705037,14377.082754334351
Sylhet,Garlic,Drip Irrigation,7218.003497841976,6720.685754586588
Bogra,Tomato,Sprinkler Irrigation,15963.099655793849,16372.357793579424
Sylhet,Cumin,Sprinkler Irrigation,13257.570180740451,14186.149826992512
Rangpur,Tomato,Sprinkler Irrigation,14120.947084017454,13269.88507210464
Chittagong,Chilli,Drip Irrigation,10153.058292675343,10010.073921476813
Mymensingh,Cotton,Sprinkler Irrigation,6723.227424893816,7415.255817074856
Dhaka,Mango,Tube Well,12977.27773757686,12286.889133173432
Chittagong,Mango,Drip Irrigation,13618.186915349524,13868.92024046748
Rangpur,Onion,Canal Irrigation,7361.595151100787,7776.958273889738
Mymensingh,Maize,Sprinkler Irrigation,13634.279339771629,14206.795818446342
Chittagong,Citrus,Tube Well,7095.4323788879665,6537.828541090872
Barisal,Fenugreek,Canal Irrigation,8522.56991173552,8109.718626075927
Bogra,Chilli,Tube Well,14931.395817121758,15578.772618972163
Dhaka,Gram,Canal Irrigation,8239.982405328281,9048.975322303666
Bogra,Coriander,Sprinkler Irrigation,13613.70107747452,13978.803799011575
Sylhet,Pomegranate,Drip Irrigation,9085.174931130705,9165.649557015828
Rangpur,Wheat,Canal Irrigation,10071.739448849285,10089.210634854711
Rajshahi,Barley,Canal Irrigation,14299.119224990502,13684.144000857856
Mymensingh,Mustard,Drip Irrigation,6889.199378585089,7801.751791531888
Mymensingh,Garlic,Drip Irrigation,12947.546168249088,12369.109118120135
Barisal,Fenugreek,Tube Well,13521.265671888106,12932.424807851938
Cumilla,Fennel,Drip Irrigation,12710.18554630436,12017.69470073965
Rajshahi,Opium,Canal Irrigation,6133.059552617516,5279.555610936549
Chittagong,Cotton,Drip Irrigation,11348.080971156303,10803.372241039617
Rangpur,Citrus,Tube Well,10890.190634568977,10699.086675977527
Sylhet,Wheat,Tube Well,11013.95655402179,11083.625294143794
Bogra,Mustard,Drip Irrigation,11497.93256942712,10643.111459025076
Mymensingh,Gram,Canal Irrigation,12684.691865658902,12287.393285348644
Jessore,Sugarcane,Tube Well,8163.199520499352,8807.44426081746
Dhaka,Onion,Sprinkler Irrigation,9916.312265891533,9189.075186550626
Cumilla,Garlic,Canal Irrigation,13943.963481004028,13232.114555920994
Sylhet,Wheat,Sprinkler Irrigation,7730.729879518505,6740.789557666515
Bogra,Pomegranate,Drip Irrigation,8971.757271053142,9468.350444518728
Sylhet,Bajra,Tube Well,14424.594625033218,15127.51232771632
Chittagong,Oilseeds,Sprinkler Irrigation,8666.711731395135,9336.20846513126
Barisal,Gram,Sprinkler Irrigation,11873.42203702272,12008.00732596832
Dhaka,Garlic,Tube Well,12262.89999826493,11409.18914258203
Jessore,Cotton,Drip Irrigation,7696.485269314778,7857.676576132166
Sylhet,Guava,Sprinkler Irrigation,12361.200413289487,11830.26611078133
Rangpur,Coriander,Drip Irrigation,13279.315411497582,12914.887285965033
Rajshahi,Mango,Canal Irrigation,9255.73704320351,8560.526967311776
Bogra,Guava,Canal Irrigation,14431.507674880544,13768.786696692505
Sylhet,Maize,Sprinkler Irrigation,14175.39300940438,14457.070098084112
Rangpur,Guava,Sprinkler Irrigation,13238.444726642763,12901.570627237445
Rajshahi,Tomato,Tube Well,10119.608326045878,9730.551918936548
Mymensingh,Gram,Sprinkler Irrigation,13269.83042310602,12433.77780927833
Rangpur,Pulses,Sprinkler Irrigation,8443.310384900395,9215.982049058186
Jessore,Mustard,Drip Irrigation,13915.548102979274,14178.801091901783
Bogra,Cumin,Tube Well,12124.622960993804,11550.1443333464
Dhaka,Garlic,Canal Irrigation,10546.981890410336,11544.43824043404
Rajshahi,Fennel,Sprinkler Irrigation,9864.564863409383,9311.178158658093
Bogra,Sugarcane,Sprinkler Irrigation,11408.142767529587,11428.96675421716
Cumilla,Guava,Drip Irrigation,11797.271396413676,12493.23507662141
Bogra,Fenugreek,Sprinkler Irrigation,12237.943642439866,11518.68502775404
Chittagong,Oilseeds,Sprinkler Irrigation,12623.944736670115,12590.951568124978
Sylhet,Barley,Sprinkler Irrigation,13625.997549273045,13089.497364481676
Rangpur,Guava,Sprinkler Irrigation,5463.334821739253,4876.882971174255
Sylhet,Pomegranate,Tube Well,10986.5068597392,11749.610822375753
Dhaka,Fennel,Canal Irrigation,6547.55675032349,7484.439551995902
Rangpur,Cotton,Sprinkler Irrigation,8243.694955155122,8000.731989268779
Bogra,Fennel,Drip Irrigation,10108.79849120498,9861.456053292071
Barisal,Chilli,Tube Well,9040.477636459944,9775.91648020244
Rajshahi,Onion,Drip Irrigation,10039.872681502624,9317.809295656883
Chittagong,Maize,Drip Irrigation,12174.971023916056,11736.590040615803
Chittagong,Oilseeds,Sprinkler Irrigation,9562.57236227422,9997.17777918241
Jessore,Fenugreek,Sprinkler Irrigation,10023.930484985807,9684.38001547191
Jessore,Onion,Tube Well,10952.760107700857,11134.34190531922
Cumilla,Wheat,Sprinkler Irrigation,5660.778337315934,5807.75136002047
Chittagong,Pulses,Drip Irrigation,15473.720640240846,14767.450840411006
Chittagong,Cotton,Sprinkler Irrigation,10569.079039696418,10379.991672629045
Bogra,Fennel,Drip Irrigation,14838.990137550123,15294.938768445518
Rangpur,Mustard,Sprinkler Irrigation,8966.382229719027,9951.933877134985
Rajshahi,Oilseeds,Sprinkler Irrigation,11379.8506978694,11581.5281266918
Bogra,Oilseeds,Canal Irrigation,8123.689169801193,8494.87149740953
Rajshahi,Coriander,Drip Irrigation,8372.023489117902,8142.947254601598
Jessore,Wheat,Sprinkler Irrigation,9738.809833035884,10557.48827921491
Cumilla,Pulses,Drip Irrigation,6936.134038941243,7739.350475666325
Bogra,Barley,Drip Irrigation,7608.3618690241055,7927.147091350755
Bogra,Garlic,Drip Irrigation,12398.89445386274,12948.635299998346
Cumilla,Chilli,Tube Well,10866.56894221022,9953.445508883182
Mymensingh,Citrus,Sprinkler Irrigation,13144.776431944943,13109.02332769862
Cumilla,Guava,Drip Irrigation,10456.905822899736,9965.94187925648
Barisal,Mustard,Canal Irrigation,11010.511135154286,11097.97317904534
Rangpur,Bajra,Drip Irrigation,13129.226692336822,13708.071656947071
Bogra,Chilli,Drip Irrigation,10096.85948031672,9846.919243726605
Barisal,Opium,Canal Irrigation,9522.028580500164,8735.195013399081
Cumilla,Fennel,Canal Irrigation,8385.900627192734,8458.110408952138
Bogra,Guava,Canal Irrigation,13430.304223144423,13225.212519535376
Barisal,Citrus,Tube Well,8172.130833919184,8290.318493226177
Rajshahi,Cotton,Canal Irrigation,10624.11967032099,11172.508638810974
Cumilla,Pulses,Drip Irrigation,12439.312570998183,12332.502325828622
Chittagong,Gram,Sprinkler Irrigation,9523.558287517297,10095.72053330405
Mymensingh,Coriander,Drip Irrigation,5538.563916976957,6467.704419725993
Dhaka,Mustard,Sprinkler Irrigation,10049.309655292223,10249.800538812136
Jessore,Mustard,Canal Irrigation,9925.04313554487,9085.122608936475
Dhaka,Pomegranate,Tube Well,12430.000920777598,12472.012007218716
Bogra,Barley,Sprinkler Irrigation,11739.96657445796,11617.91067154043
Barisal,Fenugreek,Canal Irrigation,7548.906592675259,8116.825483382676
Mymensingh,Chilli,Sprinkler Irrigation,11562.628120069248,11910.676882093609
Sylhet,Maize,Drip Irrigation,15589.499647461174,14763.18527260925
Rangpur,Pomegranate,Canal Irrigation,10606.799754701831,10417.701688402874
Barisal,Chilli,Drip Irrigation,14039.97778318551,13177.212127059627
Jessore,Garlic,Canal Irrigation,13431.996635439302,13550.224369334615
Bogra,Guava,Canal Irrigation,15723.137926734662,15276.153624128909
Bogra,Bajra,Tube Well,14997.40127750347,15147.2147209951
Rangpur,Oilseeds,Tube Well,10576.85049041764,10694.111916156957
Mymensingh,Sugarcane,Canal Irrigation,15500.344924920277,16106.229410064989
Rangpur,Garlic,Canal Irrigation,12972.564533118784,13904.675444384997
Bogra,Onion,Sprinkler Irrigation,12363.476396534355,13285.953847137584
Rajshahi,Fenugreek,Tube Well,13261.730452220554,13985.77701076982
Rajshahi,Gram,Canal Irrigation,6675.29486715658,6942.618462272957
Barisal,Fenugreek,Sprinkler Irrigation,15246.384146707,15071.2360910857
Sylhet,Chilli,Drip Irrigation,10782.352421224175,10309.051804009998
Rangpur,Mustard,Tube Well,10292.964248658973,10935.113627644034
Jessore,Garlic,Sprinkler Irrigation,10458.52150130596,10165.597353738303
Bogra,Cotton,Sprinkler Irrigation,14597.972600245725,14964.187217293262
Barisal,Onion,Sprinkler Irrigation,8254.397480989708,7738.510516679636
Rangpur,Bajra,Sprinkler Irrigation,8015.789943240331,7515.180811134246
Bogra,Guava,Sprinkler Irrigation,12720.050229301334,11959.807214610875
Jessore,Fenugreek,Tube Well,13241.427371924963,13769.915797196018
Mymensingh,Barley,Tube Well,7845.401422103929,7476.235234047764
Bogra,Cotton,Tube Well,7012.390638232034,7540.915289103889
Mymensingh,Cotton,Tube Well,7916.243268285924,8069.573640980744
Dhaka,Chilli,Tube Well,8611.594224580509,8693.130115764163
Mymensingh,Guava,Tube Well,13501.913894552534,14053.721822262356
Rajshahi,Gram,Tube Well,10309.74413278893,9326.58134242818
Barisal,Pomegranate,Drip Irrigation,8947.575189658968,9173.131382382511
Rangpur,Oilseeds,Canal Irrigation,8321.910311537484,8264.601041014395
Bogra,Mango,Canal Irrigation,6690.538829813716,6538.424590635602
Cumilla,Opium,Canal Irrigation,8713.367047755462,8514.55224259991
Rajshahi,Oilseeds,Sprinkler Irrigation,14257.656706814869,14629.680531097853
Jessore,Cotton,Sprinkler Irrigation,10648.635443523575,11361.252921013338
Barisal,Pulses,Sprinkler Irrigation,11571.450294350529,10590.93487654532
Cumilla,Onion,Sprinkler Irrigation,15794.36487885768,16493.144709651002
Mymensingh,Garlic,Canal Irrigation,11615.543568882862,11215.61193318976
Mymensingh,Cumin,Drip Irrigation,9821.907159120288,10202.993511041575
Dhaka,Bajra,Canal Irrigation,10801.46794297284,11061.19236769715
Rajshahi,Mango,Canal Irrigation,10303.143063732674,10423.843133361202
Rangpur,Guava,Drip Irrigation,11239.896931979318,10942.077911639002
Bogra,Bajra,Sprinkler Irrigation,13310.561301146405,12879.778764805287
Sylhet,Fenugreek,Tube Well,11920.798236995695,11814.658471161372
Jessore,Pomegranate,Canal Irrigation,8894.338097395119,9807.526959373892
Chittagong,Fennel,Canal Irrigation,9567.094383577229,9791.714659844123
Cumilla,Mustard,Drip Irrigation,7805.805261684476,7262.241140460223
Sylhet,Fennel,Canal Irrigation,13617.594027439578,13828.363973487902
Cumilla,Cotton,Tube Well,12929.811518334089,13807.351188252578
Bogra,Chilli,Tube Well,9414.820995712616,8782.593393919382
Dhaka,Pulses,Sprinkler Irrigation,12139.678217037952,13020.552891713944
Jessore,Bajra,Sprinkler Irrigation,8773.89368826008,7965.001126225239
Rajshahi,Garlic,Drip Irrigation,7540.588909948632,7334.613951468971
Jessore,Gram,Canal Irrigation,9703.994033910089,8872.616567214072
Cumilla,Sugarcane,Sprinkler Irrigation,8378.546779749731,7946.897339865909
Chittagong,Pulses,Sprinkler Irrigation,7523.340710338875,7850.438980946485
Sylhet,Onion,Tube Well,14784.880566358925,14866.048889143489
Rangpur,Garlic,Tube Well,7078.901354866095,7975.873619180134
Mymensingh,Oilseeds,Tube Well,11261.951906393766,11533.654179245435
Bogra,Citrus,Canal Irrigation,13924.50739786756,13887.81076327199
Barisal,Mustard,Tube Well,9974.913485101766,9799.321096290165
Chittagong,Sugarcane,Drip Irrigation,4673.530139030418,5304.289717352194
Chittagong,Guava,Canal Irrigation,11790.377379409494,10807.01160060224
Rajshahi,Onion,Canal Irrigation,5216.115117278447,5076.985743816914
Rangpur,Coriander,Sprinkler Irrigation,12819.701166378392,12916.125557851386
Barisal,Citrus,Tube Well,9142.72144958202,8469.260440242599
Cumilla,Pomegranate,Sprinkler Irrigation,8859.254551777858,8703.733317285243
Barisal,Chilli,Canal Irrigation,7193.762968446644,7679.616752708947
Rangpur,Citrus,Sprinkler Irrigation,14313.652266157122,13678.466624162407
Rangpur,Gram,Tube Well,13899.578536529938,13443.846797433189
Bogra,Onion,Sprinkler Irrigation,7674.505236316711,6978.803846551449
Mymensingh,Wheat,Sprinkler Irrigation,15030.828888411264,14595.057963562873
Chittagong,Opium,Tube Well,11713.575597562296,11179.196593474207
Chittagong,Wheat,Tube Well,8293.472954496736,8133.9590087916895
Rajshahi,Guava,Tube Well,12295.9121685754,11359.386411415342
Jessore,Pulses,Drip Irrigation,7859.77735777015,7644.620907966212
Mymensingh,Onion,Sprinkler Irrigation,8106.842771036894,8789.921346917414
Cumilla,Wheat,Drip Irrigation,17436.658861569078,17866.023904150672
Cumilla,Tomato,Sprinkler Irrigation,12397.295998233249,11464.316581373798
Rajshahi,Gram,Sprinkler Irrigation,10993.572617344911,11356.45725746062
Rangpur,Mango,Sprinkler Irrigation,10154.201508119824,9238.573339309289
Mymensingh,Chilli,Drip Irrigation,7487.903069313856,7764.943093397904
Barisal,Guava,Drip Irrigation,14423.56033139029,13859.136829500496
Jessore,Maize,Tube Well,10244.54510741359,9579.265820230165
Rangpur,Cumin,Drip Irrigation,9902.32195555745,9388.50062204374
Dhaka,Cumin,Tube Well,11813.863956351528,11123.847841213574
Jessore,Maize,Sprinkler Irrigation,10498.528886484331,10870.418173995517
Sylhet,Fennel,Drip Irrigation,5720.46258592584,6009.612379221677
Mymensingh,Gram,Sprinkler Irrigation,11018.71278219827,10652.191900272384
Mymensingh,Fennel,Canal Irrigation,14418.795731745891,14296.233527939086
Barisal,Wheat,Tube Well,8806.521618816289,8075.985966338193
Dhaka,Onion,Tube Well,10512.709135143094,10598.17728875448
Rajshahi,Bajra,Sprinkler Irrigation,11182.195017454564,10829.556768838142
Rajshahi,Cotton,Sprinkler Irrigation,6330.7856216517,5640.836577802354
Rangpur,Cotton,Canal Irrigation,10020.004762222214,10571.84057690723
Mymensingh,Pomegranate,Sprinkler Irrigation,16874.74553314306,17114.21474628351
Sylhet,Coriander,Sprinkler Irrigation,8666.7337132878,7793.4172264864355
Mymensingh,Pomegranate,Sprinkler Irrigation,10332.6081115186,10327.706430657694
Mymensingh,Pulses,Canal Irrigation,8326.867964725256,8608.675824295402
Jessore,Gram,Drip Irrigation,6869.831372919312,7745.430446236576
Chittagong,Barley,Sprinkler Irrigation,6837.301126519677,6220.534406981013
Dhaka,Cumin,Tube Well,11147.15480774997,11198.797532978791
Bogra,Cotton,Drip Irrigation,10525.627139803491,10737.534388268392
Jessore,Wheat,Sprinkler Irrigation,13591.319447713124,14448.126886589862
Jessore,Tomato,Drip Irrigation,8693.042664756425,9179.997546577162
Cumilla,Guava,Drip Irrigation,10909.236473687695,10440.867742681026
Dhaka,Mustard,Canal Irrigation,7376.595449031643,6808.395575473758
Mymensingh,Gram,Drip Irrigation,11668.94259922202,11732.264702026963
Barisal,Bajra,Sprinkler Irrigation,12010.235000744762,12905.241689859598
Mymensingh,Garlic,Tube Well,10209.993231380526,10742.56007141263
Bogra,Guava,Tube Well,13422.897316960503,13277.047297547628
Jessore,Oilseeds,Sprinkler Irrigation,9623.49357990071,9632.879140912632
Chittagong,Garlic,Tube Well,15454.102805513314,16259.072746818758
Mymensingh,Mango,Canal Irrigation,9724.950329141511,9991.431973512485
Sylhet,Coriander,Sprinkler Irrigation,10012.453335854096,9440.309607941535
Mymensingh,Cotton,Canal Irrigation,14058.35971916072,13953.359297157218
Cumilla,Wheat,Drip Irrigation,15865.558366480327,16057.0840197279
Mymensingh,Pulses,Canal Irrigation,6123.28217491978,7092.071025553381
Barisal,Mango,Drip Irrigation,13700.15472438814,14586.85053687752
Rangpur,Garlic,Sprinkler Irrigation,8202.166113463592,8122.905724786111
Chittagong,Pulses,Canal Irrigation,7848.415367611162,8012.726780330902
Barisal,Cotton,Canal Irrigation,7931.240742611578,7730.837239567106
Barisal,Mustard,Canal Irrigation,13273.221145849826,12619.02612756247
Bogra,Gram,Canal Irrigation,5766.843841556208,6383.526185877871
Cumilla,Mustard,Drip Irrigation,12394.914901537331,12063.694190483871
Cumilla,Citrus,Drip Irrigation,13566.56146372588,13019.996806450185
Bogra,Wheat,Tube Well,7085.039933091349,7133.806636118571
Sylhet,Garlic,Sprinkler Irrigation,8827.436798711788,9222.974103899924
Chittagong,Barley,Tube Well,16966.708188788925,17472.388594809985
Bogra,Chilli,Drip Irrigation,6838.008501116947,6417.574559430321
Cumilla,Pulses,Sprinkler Irrigation,9014.602706045544,8966.31201484029
Dhaka,Garlic,Tube Well,7315.642422803417,7112.69649753523
Cumilla,Opium,Sprinkler Irrigation,13325.864924977834,13287.709928929862
Barisal,Onion,Tube Well,12922.992209038044,12315.190809824486
Bogra,Chilli,Sprinkler Irrigation,7836.617509962219,7369.131691349225
Cumilla,Mango,Drip Irrigation,5186.493863293048,5013.657968224709
Sylhet,Guava,Sprinkler Irrigation,9063.443426358392,9251.197724440535
Dhaka,Sugarcane,Sprinkler Irrigation,15539.121484762074,15771.563473671082
Rajshahi,Coriander,Sprinkler Irrigation,10367.017016437918,11215.443430244772
Barisal,Bajra,Canal Irrigation,8318.884321148758,8775.857826955147
Jessore,Gram,Drip Irrigation,7310.516573320171,7552.521458497928
Chittagong,Sugarcane,Drip Irrigation,9707.720859514511,10316.28240678311
Rangpur,Tomato,Tube Well,6944.652112238872,6362.671194487277
Mymensingh,Bajra,Sprinkler Irrigation,8975.988385016752,9476.698682521685
Mymensingh,Onion,Sprinkler Irrigation,12647.394072570156,12983.915236426968
Cumilla,Cumin,Drip Irrigation,7880.682859486857,7000.902958638193
Barisal,Opium,Canal Irrigation,6424.95874781007,6734.474491440844
Dhaka,Mustard,Tube Well,12358.597811221049,12684.56108266136
Sylhet,Gram,Drip Irrigation,8211.862079159344,8978.666709459912
Cumilla,Maize,Tube Well,9862.175811883151,10281.553408553596
Sylhet,Onion,Drip Irrigation,7703.977881248385,7705.279526986143
Rajshahi,Garlic,Drip Irrigation,5666.525490876168,6511.065722244342
Rangpur,Mango,Tube Well,8504.656216008223,7818.666717189888
Sylhet,Fenugreek,Canal Irrigation,9823.318137159888,9427.97056036593
Mymensingh,Cotton,Drip Irrigation,10295.83897113062,11053.19351951294
Dhaka,Garlic,Canal Irrigation,8565.309493471692,8248.881799168526
Cumilla,Fenugreek,Sprinkler Irrigation,7104.261819383395,6868.676063092212
Bogra,Fennel,Sprinkler Irrigation,8072.30297878866,8218.100084708218
Cumilla,Sugarcane,Canal Irrigation,9362.07682993728,8625.62109447374
Chittagong,Cumin,Sprinkler Irrigation,15406.7762299299,15024.773022254269
Mymensingh,Pulses,Tube Well,13493.23355507468,14444.78737321188
Chittagong,Fennel,Sprinkler Irrigation,8446.121405967951,8560.80200215509
Jessore,Oilseeds,Canal Irrigation,14182.05859351723,13473.104255191363
Dhaka,Mango,Tube Well,15798.492764136838,15405.18897408914
Rangpur,Pulses,Sprinkler Irrigation,6785.848113412989,6155.341106562124
Bogra,Coriander,Canal Irrigation,10766.26510198684,10990.989144863071
Bogra,Maize,Sprinkler Irrigation,13919.757912352534,13638.280581421635
Rajshahi,Pulses,Tube Well,14565.828790098942,14313.747592359943
Cumilla,Onion,Tube Well,7946.074223357719,7332.59388231474
Dhaka,Citrus,Drip Irrigation,14451.167395875023,15351.563480854858
Barisal,Fenugreek,Sprinkler Irrigation,11783.79351662264,10916.06616509242
Rajshahi,Coriander,Tube Well,11178.389131663578,11911.938941976936
Barisal,Citrus,Tube Well,13664.465760846537,13880.325676689125
Cumilla,Mango,Tube Well,11984.850101027714,12469.785810443604
Bogra,Garlic,Drip Irrigation,12183.567907091836,12086.78709221916
Dhaka,Maize,Tube Well,15820.68530880267,14899.188553287644
Cumilla,Chilli,Drip Irrigation,6549.980603033487,6429.088352466406
Rangpur,Sugarcane,Tube Well,8287.169651559421,7876.009102233691
Dhaka,Opium,Sprinkler Irrigation,9156.962290614878,9449.165306474277
Jessore,Chilli,Drip Irrigation,7325.435418825231,7496.330860265611
Mymensingh,Pulses,Tube Well,9965.279230719025,9867.050940413174
Chittagong,Tomato,Sprinkler Irrigation,16725.482440218235,15905.841762797176
Sylhet,Opium,Sprinkler Irrigation,16342.001794986403,15589.090228657273
Jessore,Opium,Tube Well,12416.921321169872,11587.534409238497
Cumilla,Chilli,Sprinkler Irrigation,9235.75433111018,8996.968349632474
Chittagong,Mango,Sprinkler Irrigation,7857.810877155319,7147.025624984559
Dhaka,Citrus,Canal Irrigation,9565.529047362708,10102.789892084593
Rajshahi,Sugarcane,Sprinkler Irrigation,6831.659050671791,6094.801114295962
Barisal,Wheat,Canal Irrigation,7206.720663202068,7201.975878003664
Rajshahi,Garlic,Drip Irrigation,11735.78922686951,11722.722819395802
Barisal,Cumin,Tube Well,10585.552883352288,10469.30360634776
Bogra,Coriander,Drip Irrigation,8748.63748627271,8843.320705439002
Bogra,Fennel,Sprinkler Irrigation,6711.782325812918,6008.294662172299
Sylhet,Barley,Sprinkler Irrigation,14832.508657982533,15166.50174387492
Bogra,Sugarcane,Canal Irrigation,13401.81102342736,12499.87374892496
Cumilla,Oilseeds,Sprinkler Irrigation,11376.127032901615,11598.306544998924
Bogra,Cumin,Sprinkler Irrigation,13079.78237278331,13578.451990838032
Sylhet,Barley,Drip Irrigation,13484.29435143773,13129.938053118767
Cumilla,Mustard,Tube Well,14648.344762040924,13778.196495082222
Rajshahi,Pulses,Drip Irrigation,12812.418804264462,12361.255889767928
Mymensingh,Citrus,Sprinkler Irrigation,14315.806041499123,14539.913531355973
Jessore,Cumin,Drip Irrigation,10347.173309142738,10724.481865651427
Rangpur,Citrus,Canal Irrigation,8894.466283038912,9044.751661063256
Bogra,Guava,Sprinkler Irrigation,10270.030482685705,10262.824333580063
Rajshahi,Onion,Sprinkler Irrigation,13412.853956212635,12878.29723518972
Rangpur,Bajra,Drip Irrigation,7555.182637629052,7484.953906376214
Jessore,Bajra,Tube Well,10552.238407119408,10219.822920987055
Mymensingh,Fennel,Sprinkler Irrigation,5922.306322157758,5324.680600017939
